Year,Box_Office_Rank,Name, Worldwide , Domestic , Foreign 
1998,27,Deep Impact,"$140,694,752.00 ","$140,464,664.00 ","$230,088.00 "
1998,28,Lost in Space,"$136,159,423.00 ","$69,117,629.00 ","$67,041,794.00 "
1998,29,Blade,"$131,183,530.00 ","$70,087,718.00 ","$61,095,812.00 "
1998,30,A Perfect Murder,"$128,038,368.00 ","$67,638,368.00 ","$60,400,000.00 "
1998,31,The Wedding Singer,"$123,306,987.00 ","$80,245,725.00 ","$43,061,262.00 "
1998,32,The Siege,"$116,672,912.00 ","$40,981,289.00 ","$75,691,623.00 "
1998,33,Star Trek: Insurrection,"$112,587,658.00 ","$70,187,658.00 ","$42,400,000.00 "
1998,34,T-Rex: Back to the Cretaceous,"$103,960,367.00 ","$53,354,743.00 ","$50,605,624.00 "
1998,35,Snake Eyes,"$103,891,409.00 ","$55,591,409.00 ","$48,300,000.00 "
1998,36,U.S. Marshals,"$102,367,405.00 ","$57,167,405.00 ","$45,200,000.00 "
1998,37,Ever After: A Cinderella Story,"$98,005,666.00 ","$65,705,771.00 ","$32,299,895.00 "
1998,38,Mercury Rising,"$93,107,289.00 ","$32,935,289.00 ","$60,172,000.00 "
1998,39,The Parent Trap,"$92,108,518.00 ","$66,308,518.00 ","$25,800,000.00 "
1998,40,The X Files,"$87,535,637.00 ","$83,898,313.00 ","$3,637,324.00 "
1998,41,Everest,"$87,178,599.00 ","$87,178,599.00 ", - 
1998,42,Elizabeth,"$82,150,642.00 ","$30,082,699.00 ","$52,067,943.00 "
1998,43,Hope Floats,"$81,471,882.00 ","$60,053,195.00 ","$21,418,687.00 "
1998,44,Out of Sight,"$77,745,568.00 ","$37,562,568.00 ","$40,183,000.00 "
1998,45,Urban Legend,"$72,527,595.00 ","$38,072,438.00 ","$34,455,157.00 "
1998,46,Babe: Pig in the City,"$69,131,860.00 ","$18,319,860.00 ","$50,812,000.00 "
1998,47,A Civil Action,"$56,709,981.00 ","$56,709,981.00 ", - 
1998,48,Great Expectations,"$55,494,066.00 ","$26,420,672.00 ","$29,073,394.00 "
1998,49,What Dreams May Come,"$55,382,927.00 ","$55,382,927.00 ", - 
1998,50,Waking Ned Devine,"$55,257,450.00 ","$24,792,251.00 ","$30,465,199.00 "
1998,51,Halloween H20: 20 Years Later,"$55,041,738.00 ","$55,041,738.00 ", - 
1998,52,Small Soldiers,"$54,682,547.00 ","$54,682,547.00 ", - 
1998,53,Primary Colors,"$52,090,187.00 ","$39,001,187.00 ","$13,089,000.00 "
1998,54,Bride of Chucky,"$50,688,658.00 ","$32,400,658.00 ","$18,288,000.00 "
1998,55,Mighty Joe Young,"$50,632,037.00 ","$50,632,037.00 ", - 
1998,56,Pleasantville,"$49,805,462.00 ","$40,584,421.00 ","$9,221,041.00 "
1998,57,The Big Lebowski,"$47,409,582.00 ","$18,718,818.00 ","$28,690,764.00 "
1998,58,The Object of My Affection,"$46,905,889.00 ","$29,187,243.00 ","$17,718,646.00 "
1998,59,Practical Magic,"$46,733,898.00 ","$46,732,881.00 ",$354.00 
1998,60,Mysteries of Egypt,"$44,703,731.00 ","$40,593,486.00 ","$4,110,245.00 "
1998,61,The Negotiator,"$44,547,681.00 ","$44,547,681.00 ", - 
1998,62,Ronin,"$41,616,262.00 ","$41,616,262.00 ", - 
1998,63,The Faculty,"$40,283,321.00 ","$40,283,321.00 ", - 
1998,64,I Still Know What You Did Last Summer,"$40,003,659.00 ","$40,002,112.00 ", - 
1998,65,The Thin Red Line,"$39,873,661.00 ","$36,400,491.00 ","$3,472,983.00 "
1998,66,How Stella Got Her Groove Back,"$39,278,722.00 ","$37,672,941.00 ","$1,605,781.00 "
1998,67,Psycho,"$37,170,655.00 ","$21,485,655.00 ","$15,685,000.00 "
1998,68,Sphere,"$37,020,277.00 ","$37,020,277.00 ", - 
1998,69,Jack Frost,"$34,562,556.00 ","$34,562,556.00 ", - 
