Date,Name,Year,Letterboxd URI,Rating,Rewatch,Watched Date
6/7/2024,The Iron Claw,2023,https://boxd.it/6CPhP3,4.5,,6/6/2024
6/8/2024,Hit Man,2023,https://boxd.it/6DgPKZ,4,,6/7/2024
6/8/2024,Furiosa: A Mad Max Saga,2024,https://boxd.it/6Do3QV,4.5,,6/7/2024
6/10/2024,All of Us Strangers,2023,https://boxd.it/6EaltV,4,,6/8/2024
6/11/2024,Scream 4,2011,https://boxd.it/6EuD87,3.5,,6/10/2024
6/11/2024,Blow Out,1981,https://boxd.it/6EHFRz,3.5,,6/10/2024
6/14/2024,Black Swan,2010,https://boxd.it/6FNOTv,4.5,,6/13/2024
6/16/2024,Captain Fantastic,2016,https://boxd.it/6GgQiJ,4,,6/14/2024
6/17/2024,True Lies,1994,https://boxd.it/6GShJh,2.5,,6/15/2024
6/19/2024,Monkey Man,2024,https://boxd.it/6HzerF,3,,6/17/2024
6/20/2024,Dope,2015,https://boxd.it/6Ibh2f,4,,6/19/2024
6/21/2024,Inside Out,2015,https://boxd.it/6IrQSx,4.5,Yes,6/20/2024
6/21/2024,The Unbearable Weight of Massive Talent,2022,https://boxd.it/6IsaaF,3.5,,6/20/2024
6/22/2024,Killer Klowns from Outer Space,1988,https://boxd.it/6ITaW9,3.5,,6/21/2024
6/29/2024,Spy,2015,https://boxd.it/6Lt1zb,3,,6/21/2024
6/29/2024,Fracture,2007,https://boxd.it/6Lt2KT,3.5,,6/22/2024
6/29/2024,A Perfect Murder,1998,https://boxd.it/6Lt3vF,3,,6/22/2024
6/29/2024,Role Models,2008,https://boxd.it/6Lt58D,3,,6/24/2024
6/30/2024,Inside Out 2,2024,https://boxd.it/6LQLOR,4.5,,6/29/2024
7/2/2024,The Next Three Days,2010,https://boxd.it/6MZ6Ot,2.5,,6/30/2024
7/5/2024,The Commuter,2018,https://boxd.it/6NTCjz,3,,7/1/2024
7/5/2024,The Purge,2013,https://boxd.it/6NTICn,2,,7/2/2024
7/5/2024,The Beekeeper,2024,https://boxd.it/6NU2dn,3,,7/3/2024
7/5/2024,Kung Fu Panda 4,2024,https://boxd.it/6O9dHj,2.5,,7/4/2024
7/8/2024,Despicable Me 4,2024,https://boxd.it/6PhW5z,3,,7/5/2024
7/8/2024,Alien: Covenant,2017,https://boxd.it/6PhXl9,3,,7/6/2024
7/10/2024,Scarface,1983,https://boxd.it/6QcQf3,4.5,,7/8/2024
7/16/2024,The Rock,1996,https://boxd.it/6TcjSt,4,,7/15/2024
7/23/2024,The Unbearable Weight of Massive Talent,2022,https://boxd.it/6WhdM7,3.5,Yes,7/16/2024
7/22/2024,Jungle,2017,https://boxd.it/6VEdup,3,,7/20/2024
7/22/2024,Thelma,2024,https://boxd.it/6VEemB,4,,7/21/2024
7/23/2024,Set It Up,2018,https://boxd.it/6WhetZ,3.5,Yes,7/22/2024
7/26/2024,The Devil Wears Prada,2006,https://boxd.it/6XIbtl,3.5,Yes,7/24/2024
7/26/2024,Love Lies Bleeding,2024,https://boxd.it/6XIvNF,3.5,,7/25/2024
8/1/2024,Death at a Funeral,2007,https://boxd.it/70iq6h,4.5,Yes,7/30/2024
8/3/2024,Twister,1996,https://boxd.it/70ZyW7,4,Yes,7/31/2024
8/3/2024,Abigail,2024,https://boxd.it/70ZAAx,3,,7/31/2024
8/3/2024,Wicked Little Letters,2023,https://boxd.it/70ZBnz,3.5,,8/1/2024
8/3/2024,Twisters,2024,https://boxd.it/71e6vn,4,,8/2/2024
8/3/2024,Dark Waters,2019,https://boxd.it/71e6Ep,4,,8/2/2024
8/7/2024,Society of the Snow,2023,https://boxd.it/72IjOB,4.5,,8/3/2024
8/7/2024,A Simple Favor,2018,https://boxd.it/72Ilq7,3.5,Yes,8/5/2024
8/11/2024,Deadpool & Wolverine,2024,https://boxd.it/74mlsh,4,,8/9/2024
8/15/2024,Passengers,2016,https://boxd.it/76fHAr,2,,8/13/2024
9/4/2024,The Watchers,2024,https://boxd.it/7fAEZB,2.5,,9/2/2024
9/14/2024,Watcher,2022,https://boxd.it/7jTa2t,3.5,,9/9/2024
9/14/2024,Rebel Ridge,2024,https://boxd.it/7kckfF,4,,9/13/2024
9/19/2024,Happy Death Day 2U,2019,https://boxd.it/7mv1Wh,2.5,,9/17/2024
9/19/2024,My Cousin Vinny,1992,https://boxd.it/7mv2d3,4.5,Yes,9/18/2024
9/21/2024,Lilo & Stitch,2002,https://boxd.it/7nclnx,4.5,Yes,9/20/2024
9/28/2024,The Wild Robot,2024,https://boxd.it/7qeHLd,4.5,,9/27/2024
10/6/2024,Bad Times at the El Royale,2018,https://boxd.it/7tHVZt,3.5,Yes,10/5/2024
10/10/2024,It's What's Inside,2024,https://boxd.it/7w4VEf,4,,10/9/2024
10/20/2024,Caddo Lake,2024,https://boxd.it/7AL7VH,4,,10/17/2024
10/20/2024,MaXXXine,2024,https://boxd.it/7AL6yx,2.5,,10/18/2024
10/31/2024,Trap,2024,https://boxd.it/7GQnRZ,3,,10/30/2024
11/1/2024,Trick 'r Treat,2007,https://boxd.it/7Hjh4P,4,Yes,10/31/2024
11/1/2024,Monster House,2006,https://boxd.it/7Hjhy1,3,Yes,10/31/2024
11/3/2024,Late Night with the Devil,2023,https://boxd.it/7I73Xh,3.5,,10/31/2024
11/3/2024,Â¡Three Amigos!,1986,https://boxd.it/7I74GV,3,,11/1/2024
11/3/2024,Challengers,2024,https://boxd.it/7I7l9f,4,,11/1/2024
11/9/2024,Airplane!,1980,https://boxd.it/7L6FnB,3.5,,11/8/2024
11/14/2024,The Fall Guy,2024,https://boxd.it/7O1BUX,3.5,,11/13/2024
11/15/2024,Pan's Labyrinth,2006,https://boxd.it/7Os5gF,4.5,Yes,11/14/2024
11/24/2024,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/7SA5qd,4,Yes,11/20/2024
11/24/2024,22 Jump Street,2014,https://boxd.it/7SA5SL,3.5,Yes,11/22/2024
12/2/2024,Alien: Romulus,2024,https://boxd.it/7WMgQ7,4,,11/30/2024
12/3/2024,The Outfit,2022,https://boxd.it/7XHqG1,3.5,,12/1/2024
12/8/2024,Speak No Evil,2024,https://boxd.it/8038cz,3.5,,12/7/2024
12/9/2024,Love Actually,2003,https://boxd.it/80Erxb,3.5,,12/8/2024
12/14/2024,1917,2019,https://boxd.it/82EhQb,4.5,Yes,12/13/2024
12/14/2024,Klaus,2019,https://boxd.it/82RSzd,4.5,Yes,12/13/2024
12/17/2024,Goosebumps,2015,https://boxd.it/84xkGH,3,,12/15/2024
12/23/2024,Red One,2024,https://boxd.it/88a3I7,2,,12/22/2024
12/25/2024,Sonic the Hedgehog,2020,https://boxd.it/89aFFT,3,,12/23/2024
12/25/2024,Tommy Boy,1995,https://boxd.it/89IYJj,3.5,,12/24/2024
1/7/2025,10 Things I Hate About You,1999,https://boxd.it/8maI6z,4.5,Yes,1/6/2025
1/9/2025,Carry-On,2024,https://boxd.it/8nhxoP,3,,1/7/2025
1/16/2025,Blended,2014,https://boxd.it/8uAVev,3,,1/8/2025
1/16/2025,Knowing,2009,https://boxd.it/8uAVPV,2,,1/14/2025
