Year,Box_Office_Rank,Name,   Worldwide   ,   Domestic   ,   Foreign   
2000,197,The Broken Hearts Club: A Romantic Comedy," $2,019,121.00 "," $1,746,585.00 "," $272,536.00 "
2000,198,Cecil B. Demented," $1,961,544.00 "," $1,284,646.00 "," $676,898.00 "
2000,199,The Life and Times of Hank Greenberg," $1,712,385.00 "," $1,712,385.00 ",
2000,200,The Girl on the Bridge," $1,708,839.00 "," $1,708,839.00 ",
2001,1,Harry Potter and the Sorcerer's Stone," $974,755,371.00 "," $317,575,550.00 "," $657,179,821.00 "
2001,2,The Lord of the Rings: The Fellowship of the Ring," $880,839,846.00 "," $313,364,114.00 "," $567,475,732.00 "
2001,3,"Monsters, Inc."," $528,773,250.00 "," $255,873,250.00 "," $272,900,000.00 "
2001,4,Shrek," $484,409,218.00 "," $267,665,011.00 "," $216,744,207.00 "
2001,5,Ocean's Eleven," $450,717,150.00 "," $183,417,150.00 "," $267,300,000.00 "
2001,6,Pearl Harbor," $449,220,945.00 "," $198,542,554.00 "," $250,678,391.00 "
2001,7,The Mummy Returns," $433,013,274.00 "," $202,019,785.00 "," $230,993,489.00 "
2001,8,Jurassic Park III," $368,780,809.00 "," $181,171,875.00 "," $187,608,934.00 "
2001,9,Planet of the Apes," $362,211,740.00 "," $180,011,740.00 "," $182,200,000.00 "
2001,10,Hannibal," $351,692,268.00 "," $165,092,268.00 "," $186,600,000.00 "
2001,11,Rush Hour 2," $347,325,802.00 "," $226,164,286.00 "," $121,161,516.00 "
2001,12,A Beautiful Mind," $313,542,341.00 "," $170,742,341.00 "," $142,800,000.00 "
2001,13,American Pie 2," $287,553,595.00 "," $145,103,595.00 "," $142,450,000.00 "
2001,14,Bridget Jones's Diary," $281,929,795.00 "," $71,543,427.00 "," $210,386,368.00 "
2001,15,Spirited Away," $274,925,095.00 "," $10,055,859.00 "," $264,869,236.00 "
2001,16,Lara Croft: Tomb Raider," $274,703,340.00 "," $131,168,070.00 "," $143,535,270.00 "
2001,17,A.I. Artificial Intelligence," $235,926,552.00 "," $78,616,689.00 "," $157,309,863.00 "
2001,18,The Others," $209,947,037.00 "," $96,522,687.00 "," $113,424,350.00 "
2001,19,The Fast and the Furious," $207,283,925.00 "," $144,533,925.00 "," $62,750,000.00 "
2001,20,Vanilla Sky," $203,388,341.00 "," $100,618,344.00 "," $102,769,997.00 "
2001,21,Cats & Dogs," $200,687,492.00 "," $93,385,515.00 "," $107,301,977.00 "
2001,22,Atlantis: The Lost Empire," $186,053,725.00 "," $84,056,472.00 "," $101,997,253.00 "
2001,23,Moulin Rouge!," $179,213,434.00 "," $57,386,607.00 "," $121,826,827.00 "
2001,24,Dr. Dolittle 2," $176,104,344.00 "," $112,952,899.00 "," $63,151,445.00 "
2001,25,Amélie," $173,921,954.00 "," $33,225,499.00 "," $140,696,455.00 "
2001,26,Black Hawk Down," $172,989,651.00 "," $108,638,745.00 "," $64,350,906.00 "
2001,27,The Princess Diaries," $165,335,153.00 "," $108,248,956.00 "," $57,086,197.00 "
2001,28,Spy Kids," $147,934,180.00 "," $112,719,001.00 "," $35,215,179.00 "
2001,29,The Mexican," $147,845,033.00 "," $66,845,033.00 "," $81,000,000.00 "
2001,30,Swordfish," $147,080,413.00 "," $69,772,969.00 "," $77,307,444.00 "
2001,31,Spy Game," $143,049,560.00 "," $62,362,560.00 "," $80,687,000.00 "
2001,32,Legally Blonde," $141,774,679.00 "," $96,520,674.00 "," $45,254,005.00 "
2001,33,Scary Movie 2," $141,220,678.00 "," $71,308,997.00 "," $69,911,681.00 "
2001,34,Shallow Hal," $141,069,860.00 "," $70,839,203.00 "," $70,230,657.00 "
2001,35,America's Sweethearts," $138,307,673.00 "," $93,607,673.00 "," $44,700,000.00 "
2001,36,Save the Last Dance," $131,706,809.00 "," $91,057,006.00 "," $40,649,803.00 "
2001,37,A Knight's Tale," $117,487,473.00 "," $56,569,702.00 "," $60,917,771.00 "
2001,38,The Score," $113,579,918.00 "," $71,107,711.00 "," $42,472,207.00 "
2001,39,Along Came a Spider," $105,178,561.00 "," $74,078,174.00 "," $31,100,387.00 "
2001,40,Training Day," $104,876,233.00 "," $76,631,907.00 "," $28,244,326.00 "
